JobNumber,Customer,State,City,,,
4615686,Charter,TX,PLANO,,,
4662672,Charter,MT,KALISPELL,,,
4334080,Charter,CA,AVENAL,,,
4236484,Charter,TN,BRISTOL,,,
4592293,Charter,AL,HOLLY POND,,,
4637243,Charter,TX,EL PASO,,,
4442856,Charter,GA,CISCO,,,
4673667,Charter,MT,HELENA,,,
4078306,Charter,AL,BOAZ,,,
4592677,Charter,TN,WAYNESBORO,,,
4650518,Charter,TX,EL PASO,,,
4708590,Charter,LA,SLIDELL,,,
4639210,Charter,TX,FORT WORTH,,,
4646433,Charter,TX,FORT WORTH,,,
4618612,Charter,TX,SPRINGTOWN,,,
4636419,Charter,TX,FORT WORTH,,,
4649383,Charter,TX,DENTON,,,
4659543,Charter,TX,FORT WORTH,,,
4540580,Charter,TX,MCKINNEY,,,
3818738,Charter,TX,NEW BRAUNFELS,,,
4655472,Charter,TX,ARLINGTON,,,
4632623,Charter,TX,WICHITA FALLS,,,
4231908,Charter,SC,LITTLE RIVER,,,
3899750,Charter,FL,LARGO,,,
4642256,Charter,MO,HAZELWOOD,,,
4721251,Charter,FL,WILDWOOD,,,
4631590,Charter,SC,GILBERT,,,
4391294,Charter,NY,FORT JOHNSON,,,
4651186,Charter,NC,CHARLOTTE,,,
3875709,Charter,NY,GENEVA,,,
4706878,Charter,NY,HARPURSVILLE,,,
3529961,Charter,NY,ROCHESTER,,,
4652577,Charter,WA,KENNEWICK,,,
4648329,Charter,NY,ROCHESTER,,,
4681791,Charter,NY,BROOKLYN,,,
4716831,Charter,CA,BAKERSFIELD,,,
4644187,Charter,NY,BUFFALO,,,
4720758,Charter,TN,SELMER,,,
4649143,Charter,OH,CHILLICOTHE,,,
4602631,Charter,SC,GAFFNEY,,,
4652565,Charter,TN,CRUMP,,,
4581685,Charter,LA,EUNICE,,,
4621115,Charter,SC,GAFFNEY,,,
4537714,Charter,SC,GAFFNEY,,,
4613684,Charter,NC,ARDEN,,,
4696495,Charter,NY,GLENS FALLS,,,
4699075,Charter,NY,TROY,,,
4639698,Charter,KY,,,,
3502117,Charter,OH,,,,
4692955,Charter,OH,,,,
4656236,Charter,OH,,,,
4586362,Charter,KY,,,,
4634183,Charter,FL,,,,
4658344,Charter,OH,,,,
4598443,Charter,OH,,,,
4660187,Charter,FL,,,,
4682805,Charter,NC,,,,
2966723,Charter,,,,,
4674519,Charter,NC,,,,
4665274,Charter,NC,,,,
4556291,Charter,NC,,,,
3875897,Charter,OH,,,,
4596569,Charter,NC,,,,
4650945,Charter,KY,,,,
3713727,Charter,,,,,
3342262,Charter,OH,,,,
4671848,Charter,OH,,,,
3867508,Charter,IN,,,,
4634317,Charter,IN,,,,
4652866,Charter,KY,,,,
2589027,Charter,OH,,,,
4528552,Charter,KY,,,,
4571177,Charter,KY,,,,
4068415,Charter,FL,,,,
4722709,Charter,FL,,,,
3645575,Charter,FL,,,,
4606501,Charter,FL,,,,
4663986,Charter,FL,,,,
4677569,Charter,NC,,,,
4026942,Charter,,,,,
4579389,Charter,CO,,,,
4609608,Charter,CO,,,,
4697793,Charter,MO,,,,
4681790,Charter,NY,,,,
4695991,Charter,NY,,,,
4648626,Charter,NY,,,,
4614726,Charter,CO,,,,
4660195,Charter,NY,,,,
4672017,Charter,NY,,,,
3862207,Charter,WI,,,,
4522770,Charter,CO,,,,
4640538,Charter,NY,,,,
4690140,Charter,ME,,,,
4616939,Charter,ME,,,,
4666362,Charter,NY,,,,
4645286,Charter,NC,,,,
4661483,Charter,NC,,,,
4674134,Charter,NC,,,,
4688690,Charter,NC,,,,
4647429,Charter,NC,,,,
4645472,Charter,NC,,,,
4641216,Charter,NC,,,,
4646645,Charter,NC,,,,
4672051,Charter,NC,,,,
4594808,Charter,,,,,
4522092,Charter,NC,,,,
4671910,Charter,NC,,,,
4585359,Charter,NC,,,,
4094933,Charter,,,,,
2426681,Charter,NC,,,,
3910876,Charter,NC,,,,
4494012,Charter,OH,,,,
1510291,Charter,NC,,,,
4710890,Charter,NC,,,,
4684176,Charter,KY,,,,
3841927,Charter,NC,,,,
4636318,Charter,OH,,,,
3422081,Charter,TX,,,,
4689356,Charter,,,,,
4712203,Charter,OH,,,,
4541863,Charter,TX,,,,
4677844,Charter,FL,,,,
4650246,Charter,FL,,,,
4634950,Charter,FL,,,,
4646730,Charter,FL,,,,
4726439,Charter,FL,,,,
4612046,Charter,FL,,,,
4607883,Charter,FL,,,,
4611602,Charter,FL,,,,
4636571,Charter,FL,,,,
4674325,Charter,GA,,,,
4673837,Charter,GA,,,,
4693819,Charter,LA,,,,
4702867,Charter,LA,,,,
4698785,Charter,LA,,,,
4685563,Charter,MN,,,,
4672159,Charter,TX,,,,
3726522,Charter,WI,,,,
4682948,Charter,WI,,,,
4673952,Charter,WI,,,,
4694945,Charter,WI,,,,
4679116,Charter,AL,,,,
4693673,Charter,FL,,,,
4627315,Charter,FL,,,,
4290870,Charter,FL,,,,
4572052,Charter,FL,,,,
4681425,Charter,FL,,,,
3997341,Charter,FL,,,,
4684671,Charter,GA,,,,
4700195,Charter,MN,,,,
4580802,Charter,MO,,,,
4691167,Charter,MO,,,,
4491142,Charter,MO,,,,
4549281,Charter,NE,,,,
4656492,Charter,TN,,,,
4664653,Charter,TN,,,,
4681723,Charter,TX,,,,
4730416,Charter,TX,,,,
4674917,Charter,WI,,,,
4714313,Charter,WI,,,,
4592192,Charter,WI,,,,
4677023,Charter,FL,,,,
4641756,Charter,FL,,,,
4671483,Charter,LA,,,,
4703408,Charter,LA,,,,
4684974,Charter,SC,,,,
4669264,Charter,SC,,,,
4692885,Charter,TX,,,,
4631660,Charter,TX,,,,
4649617,Charter,WI,,,,
4694934,Charter,WI,,,,
4540566,Charter,ME,FORT KENT,,,
4584939,Charter,ME,CARMEL,,,
4720978,Charter,ME,WELLS,,,
4692594,Charter,ME,RUMFORD,,,
4681314,Charter,NY,CHITTENANGO,,,
4686640,Charter,NY,SOUTH BETHLEHEM,,,
4678290,Charter,ME,LIMINGTON,,,
4628062,Charter,NY,AVOCA,,,
4625580,Charter,ME,BETHEL,,,
4730766,Charter,NY,EAST SYRACUSE,,,
4273772,Charter,ME,SOUTHWEST HARBOR,,,
3892599,Charter,ME,HANCOCK,,,
4656265,Charter,WA,COLVILLE,,,
4603193,Charter,NY,LAKE LUZERNE,,,
